name,date,location,image_url,price,organizer,description,long_description,is_active
"SHOWMAN - April 4","2026-04-04","CARNIVORE GARDENS, NAIROBI","https://getaticket.co.ke/storage/covers/01KAJKRAPTN2T1ZG0RRNVDBKDJ.jpg",3500,"Nyashinski","SHOWMAN Residency - Day 1","SHOWMAN is more than just a concert. it is a full theatrical spectacle that brings the worlds of music and theatre crashing together.",TRUE
"SHOWMAN - April 5","2026-04-05","CARNIVORE GARDENS, NAIROBI","https://getaticket.co.ke/storage/covers/01KAJKRAPTN2T1ZG0RRNVDBKDJ.jpg",3500,"Nyashinski","SHOWMAN Residency - Day 2","SHOWMAN is more than just a concert. it is a full theatrical spectacle that brings the worlds of music and theatre crashing together.",TRUE
"SHOWMAN VIP - April 8","2026-04-08","CARNIVORE GARDENS, NAIROBI","https://getaticket.co.ke/storage/covers/01KAJKQ30YGCTEHPY1D9MZ45E7.png",20000,"Nyashinski","SHOWMAN Residency - VIP Day","SHOWMAN is more than just a concert. it is a full theatrical spectacle that brings the worlds of music and theatre crashing together. VIP mid-week show.",TRUE
"SHOWMAN - April 11","2026-04-11","CARNIVORE GARDENS, NAIROBI","https://getaticket.co.ke/storage/covers/01KAJKRAPTN2T1ZG0RRNVDBKDJ.jpg",3500,"Nyashinski","SHOWMAN Residency - Day 4","SHOWMAN is more than just a concert. it is a full theatrical spectacle that brings the worlds of music and theatre crashing together.",TRUE
"SHOWMAN - April 12","2026-04-12","CARNIVORE GARDENS, NAIROBI","https://getaticket.co.ke/storage/covers/01KAJKRAPTN2T1ZG0RRNVDBKDJ.jpg",3500,"Nyashinski","SHOWMAN Residency - Day 5","SHOWMAN is more than just a concert. it is a full theatrical spectacle that brings the worlds of music and theatre crashing together.",TRUE
