name,date,location,image_url,price,organizer,description,long_description,is_active
"VURUGU - REGULAR","2026-04-04","Kasarani Stadium Indoor Arena","https://madfun.s3.af-south-1.amazonaws.com/Vurugu_720.jpeg",1500,"Vibe Pass Africa","Witness fierce warriors clash in an adrenaline-pumping boxing showdown, where strength, skill and sheer determination collide. Vurugu promises an unforgettable night of raw energy, intense rivalries and moments that will have the crowd on its feet. Don’t miss the action, this is boxing at its fiercest.","Witness fierce warriors clash in an adrenaline-pumping boxing showdown, where strength, skill and sheer determination collide. Vurugu promises an unforgettable night of raw energy, intense rivalries and moments that will have the crowd on its feet. Don’t miss the action, this is boxing at its fiercest.",TRUE
"VURUGU - VIP","2026-04-04","Kasarani Stadium Indoor Arena","https://madfun.s3.af-south-1.amazonaws.com/Vurugu_720.jpeg",5000,"Vibe Pass Africa","Witness fierce warriors clash in an adrenaline-pumping boxing showdown, where strength, skill and sheer determination collide. Vurugu promises an unforgettable night of raw energy, intense rivalries and moments that will have the crowd on its feet. Don’t miss the action, this is boxing at its fiercest.","Witness fierce warriors clash in an adrenaline-pumping boxing showdown, where strength, skill and sheer determination collide. Vurugu promises an unforgettable night of raw energy, intense rivalries and moments that will have the crowd on its feet. Don’t miss the action, this is boxing at its fiercest.",TRUE
"VURUGU - VVIP RINGSIDE","2026-04-04","Kasarani Stadium Indoor Arena","https://madfun.s3.af-south-1.amazonaws.com/Vurugu_720.jpeg",10000,"Vibe Pass Africa","Witness fierce warriors clash in an adrenaline-pumping boxing showdown, where strength, skill and sheer determination collide. Vurugu promises an unforgettable night of raw energy, intense rivalries and moments that will have the crowd on its feet. Don’t miss the action, this is boxing at its fiercest.","Witness fierce warriors clash in an adrenaline-pumping boxing showdown, where strength, skill and sheer determination collide. Vurugu promises an unforgettable night of raw energy, intense rivalries and moments that will have the crowd on its feet. Don’t miss the action, this is boxing at its fiercest.",TRUE
"VURUGU - RINGSIDE EXCLUSIVE TABLE","2026-04-04","Kasarani Stadium Indoor Arena","https://madfun.s3.af-south-1.amazonaws.com/Vurugu_720.jpeg",100000,"Vibe Pass Africa","Witness fierce warriors clash in an adrenaline-pumping boxing showdown, where strength, skill and sheer determination collide. Vurugu promises an unforgettable night of raw energy, intense rivalries and moments that will have the crowd on its feet. Don’t miss the action, this is boxing at its fiercest.","Witness fierce warriors clash in an adrenaline-pumping boxing showdown, where strength, skill and sheer determination collide. Vurugu promises an unforgettable night of raw energy, intense rivalries and moments that will have the crowd on its feet. Don’t miss the action, this is boxing at its fiercest.",TRUE
